City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,bludenz,47.1497,9.8167,292.33,88,14,2.32,AT,1724792010
295,lai chau,22.3997,103.4517,291.34,98,16,0.95,VN,1724792011
296,arcadia,34.1397,-118.0353,307.21,39,0,1.79,US,1724792012
297,gamba,-2.65,10.0,295.72,91,75,3.97,GA,1724792013
298,bengkulu,-3.8004,102.2655,297.03,91,98,1.72,ID,1724792014
299,griffith,41.5284,-87.4237,310.07,56,0,2.06,US,1724792015
300,nogliki,51.8333,143.1667,288.16,94,5,3.62,RU,1724792017
301,arima,10.6333,-61.2833,299.16,94,20,0.0,TT,1724792018
302,tank,32.2217,70.3793,303.49,58,47,2.22,PK,1724792019
303,vorkuta,67.5,64.0,285.9,72,65,3.62,RU,1724792020
304,crane,31.3974,-102.3501,305.15,31,80,3.83,US,1724792021
305,sinabang,2.4803,96.3801,297.35,83,100,3.84,ID,1724792022
306,praia da vitoria,38.7333,-27.0667,298.29,65,20,3.51,PT,1724792023
307,airway heights,47.6446,-117.5933,294.85,28,75,11.32,US,1724792019
308,champerico,14.3,-91.9167,302.32,74,79,2.59,GT,1724792026
309,minas de marcona,-15.2119,-75.1103,290.1,55,50,5.4,PE,1724792027
310,bandar lampung,-5.4254,105.258,294.91,93,100,1.38,ID,1724792028
311,robstown,27.7903,-97.6689,307.08,55,75,4.12,US,1724792029
312,requena,39.4883,-1.1004,294.83,83,84,2.88,ES,1724792030
313,roudnice nad labem,50.4253,14.2618,293.49,59,3,1.56,CZ,1724792031
314,tukrah,32.5341,20.5791,301.11,71,2,2.9,LY,1724791754
315,kiunga,-6.1219,141.2906,294.92,98,100,1.05,PG,1724792034
316,tibati,6.4667,12.6333,292.86,93,85,0.24,CM,1724792035
317,dudinka,69.4058,86.1778,284.61,90,92,1.19,RU,1724792036
318,hammerfest,70.6634,23.6821,284.4,87,75,13.38,NO,1724792037
319,adrar,20.5022,-10.0711,312.94,16,32,4.25,MR,1724792038
320,nuku'alofa,-21.1333,-175.2,295.34,88,20,2.06,TO,1724792039
321,san pedro pochutla,15.7333,-96.4667,296.99,59,66,3.08,MX,1724792016
322,forster,-32.1667,152.5167,288.94,61,69,3.19,AU,1724792042
323,sarangani,5.4033,125.4636,301.84,74,100,4.83,PH,1724792043
324,waingapu,-9.6567,120.2641,295.96,86,51,1.8,ID,1724792044
325,weyburn,49.6668,-103.8511,299.27,36,4,5.66,CA,1724792045
326,celendin,-6.8703,-78.1517,294.38,30,27,3.61,PE,1724792046
327,tamanrasset,22.785,5.5228,304.1,23,40,3.09,DZ,1724792047
328,bogale,16.2833,95.4,297.9,94,100,1.51,MM,1724792048
329,puerto cabezas,14.0351,-83.3888,303.13,84,40,3.09,NI,1724792049
330,lasem,-6.6922,111.4527,296.63,76,92,3.25,ID,1724792051
331,dashiqiao,40.6373,122.5025,290.97,93,0,2.12,CN,1724792052
332,kavieng,-2.5744,150.7967,301.16,77,13,6.54,PG,1724792053
333,lima,-12.0432,-77.0282,288.29,82,100,4.63,PE,1724791824
334,formosa do rio preto,-11.0483,-45.1931,303.02,21,1,2.69,BR,1724792055
335,kavaratti,10.5669,72.642,300.48,85,98,4.74,IN,1724792056
336,sanctuary point,-35.1114,150.629,294.03,29,100,8.08,AU,1724792057
337,ramhormoz,31.28,49.6035,311.81,12,19,1.02,IR,1724792059
338,da nang,16.0678,108.2208,299.14,83,20,2.06,VN,1724792060
339,aioun,16.6614,-9.6149,311.68,22,100,4.23,MR,1724792061
340,masterton,-40.9597,175.6575,284.39,89,70,4.22,NZ,1724792062
341,ulanhot,46.0833,122.0833,290.27,74,100,3.27,CN,1724792063
342,bel ombre,-4.6167,55.4167,299.06,89,75,6.17,SC,1724792064
343,chernyakhovsk,54.6335,21.8156,286.88,80,5,2.72,RU,1724792065
344,segovia,41.1667,-4.0,296.4,29,1,3.36,ES,1724792066
345,okhotsk,59.3833,143.3,286.7,88,100,1.61,RU,1724792068
346,sweetwater,25.7634,-80.3731,306.15,69,40,8.75,US,1724792069
347,kuraymah,18.55,31.85,302.98,62,100,5.68,SD,1724792070
348,udachny,66.4167,112.4,282.85,70,95,1.82,RU,1724792071
349,namdrik,5.5994,168.1028,302.34,75,91,9.01,MH,1724792072
350,manadhoo,5.7667,73.3833,300.95,75,100,2.08,MV,1724792073
351,nampula,-15.1165,39.2666,296.12,68,0,6.26,MZ,1724792075
352,mansa,29.9833,75.3833,298.34,93,100,1.99,IN,1724792076
353,jaen,38.0,-3.5,302.12,33,0,2.73,ES,1724792077
354,padang,-0.9492,100.3543,296.18,89,100,1.4,ID,1724792078
355,geraldton,-28.7667,114.6,287.38,94,33,3.6,AU,1724792079
356,bobo-dioulasso,11.1771,-4.2979,296.4,94,20,3.09,BF,1724792080
357,happy valley-goose bay,53.3168,-60.3315,302.32,32,75,7.2,CA,1724791831
358,magadan,59.5667,150.8,283.93,95,100,0.13,RU,1724792082
359,wewak,-3.5534,143.6268,298.74,91,71,3.26,PG,1724792084
